feature,importance
OCCUPATION_TYPE_High skill tech staff,9.0
OCCUPATION_TYPE_IT staff,0.8
OCCUPATION_TYPE_Laborers,10.6
OCCUPATION_TYPE_Low-skill Laborers,4.6
OCCUPATION_TYPE_Managers,2.4
OCCUPATION_TYPE_Medicine staff,7.6
OCCUPATION_TYPE_Private service staff,1.4
OCCUPATION_TYPE_Realty agents,0.2
OCCUPATION_TYPE_Sales staff,4.4
OCCUPATION_TYPE_Secretaries,1.0
OCCUPATION_TYPE_Security staff,3.5999999999999996
OCCUPATION_TYPE_Waiters/barmen staff,2.8
WEEKDAY_APPR_PROCESS_START_FRIDAY,6.6
WEEKDAY_APPR_PROCESS_START_MONDAY,10.399999999999999
WEEKDAY_APPR_PROCESS_START_SATURDAY,9.399999999999999
WEEKDAY_APPR_PROCESS_START_SUNDAY,7.2
WEEKDAY_APPR_PROCESS_START_THURSDAY,5.2
WEEKDAY_APPR_PROCESS_START_TUESDAY,8.6
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,9.600000000000001
ORGANIZATION_TYPE_Advertising,0.2
ORGANIZATION_TYPE_Agriculture,0.8
ORGANIZATION_TYPE_Bank,11.0
ORGANIZATION_TYPE_Business Entity Type 1,3.4000000000000004
ORGANIZATION_TYPE_Business Entity Type 2,1.6
ORGANIZATION_TYPE_Business Entity Type 3,9.4
ORGANIZATION_TYPE_Cleaning,0.0
ORGANIZATION_TYPE_Construction,17.400000000000002
ORGANIZATION_TYPE_Culture,1.0
ORGANIZATION_TYPE_Electricity,0.2
ORGANIZATION_TYPE_Emergency,0.0
ORGANIZATION_TYPE_Government,6.199999999999999
ORGANIZATION_TYPE_Hotel,5.0
ORGANIZATION_TYPE_Housing,1.2
ORGANIZATION_TYPE_Industry: type 1,0.8
ORGANIZATION_TYPE_Industry: type 10,0.2
ORGANIZATION_TYPE_Industry: type 11,1.2000000000000002
ORGANIZATION_TYPE_Industry: type 12,3.4000000000000004
ORGANIZATION_TYPE_Industry: type 13,0.0
ORGANIZATION_TYPE_Industry: type 2,0.6000000000000001
ORGANIZATION_TYPE_Industry: type 3,1.0
ORGANIZATION_TYPE_Industry: type 4,0.4
ORGANIZATION_TYPE_Industry: type 5,0.6000000000000001
ORGANIZATION_TYPE_Industry: type 6,0.0
ORGANIZATION_TYPE_Industry: type 7,0.4
ORGANIZATION_TYPE_Industry: type 8,0.0
ORGANIZATION_TYPE_Industry: type 9,21.0
ORGANIZATION_TYPE_Insurance,0.2
